Date,Sales,MonthName
2014-01-01,118108,Jan
2014-01-02,6980556,Jan
2014-01-03,7024253,Jan
2014-01-04,6357259,Jan
2014-01-05,184905,Jan
2014-01-06,8661727,Jan
2014-01-07,10456932,Jan
2014-01-08,8643239,Jan
2014-01-09,8016642,Jan
2014-01-10,8548672,Jan
2014-01-11,6231179,Jan
2014-01-12,175744,Jan
2014-01-13,6089929,Jan
2014-01-14,5785842,Jan
2014-01-15,5779426,Jan
2014-01-16,5720266,Jan
2014-01-17,6332625,Jan
2014-01-18,6213031,Jan
2014-01-19,175778,Jan
2014-01-20,10648819,Jan
2014-01-21,8475207,Jan
2014-01-22,7970289,Jan
2014-01-23,7625568,Jan
2014-01-24,7851977,Jan
2014-01-25,5986034,Jan
2014-01-26,160153,Jan
2014-01-27,5689615,Jan
2014-01-28,5790602,Jan
2014-01-29,5809489,Jan
2014-01-30,6313068,Jan
2014-01-31,7935853,Jan
2014-02-01,6934170,Feb
2014-02-02,214940,Feb
2014-02-03,11757740,Feb
2014-02-04,9651472,Feb
2014-02-05,8456987,Feb
2014-02-06,8226263,Feb
2014-02-07,8075318,Feb
2014-02-08,6387706,Feb
2014-02-09,190226,Feb
2014-02-10,6451410,Feb
2014-02-11,6056843,Feb
2014-02-12,6046448,Feb
2014-02-13,6180416,Feb
2014-02-14,7086640,Feb
2014-02-15,6293698,Feb
2014-02-16,190158,Feb
2014-02-17,10675316,Feb
2014-02-18,8708285,Feb
2014-02-19,7855918,Feb
2014-02-20,7738889,Feb
2014-02-21,7862313,Feb
2014-02-22,6123882,Feb
2014-02-23,185005,Feb
2014-02-24,6036002,Feb
2014-02-25,5697449,Feb
2014-02-26,5960448,Feb
2014-02-27,6006428,Feb
2014-02-28,7874307,Feb
2014-03-01,7088957,Mar
2014-03-02,225564,Mar
2014-03-03,10254710,Mar
2014-03-04,9211960,Mar
2014-03-05,8802968,Mar
2014-03-06,8444592,Mar
2014-03-07,8486290,Mar
2014-03-08,6075937,Mar
2014-03-09,187110,Mar
2014-03-10,6204784,Mar
2014-03-11,5906003,Mar
2014-03-12,5795093,Mar
2014-03-13,5898902,Mar
2014-03-14,6447567,Mar
2014-03-15,6310072,Mar
2014-03-16,213125,Mar
2014-03-17,10311703,Mar
2014-03-18,8426401,Mar
2014-03-19,7849900,Mar
2014-03-20,7179418,Mar
2014-03-21,7681649,Mar
2014-03-22,6176931,Mar
2014-03-23,217517,Mar
2014-03-24,6506590,Mar
2014-03-25,5909575,Mar
2014-03-26,5840946,Mar
2014-03-27,6024721,Mar
2014-03-28,6822072,Mar
2014-03-29,6248819,Mar
2014-03-30,207045,Mar
2014-03-31,12062933,Mar
